code,title,Level
423110,Automobile and Other Motor Vehicle Merchant Wholesalers,6
423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,6
423130,Tire and Tube Merchant Wholesalers,6
423140,Motor Vehicle Parts (Used) Merchant Wholesalers,6
423210,Furniture Merchant Wholesalers,6
423220,Home Furnishing Merchant Wholesalers,6
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",6
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",6
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",6
423390,Other Construction Material Merchant Wholesalers,6
423410,Photographic Equipment and Supplies Merchant Wholesalers,6
423420,Office Equipment Merchant Wholesalers,6
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,6
423440,Other Commercial Equipment Merchant Wholesalers,6
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",6
423460,Ophthalmic Goods Merchant Wholesalers,6
423490,Other Professional Equipment and Supplies Merchant Wholesalers,6
423510,Metal Service Centers and Other Metal Merchant Wholesalers,6
423520,Coal and Other Mineral and Ore Merchant Wholesalers,6
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",6
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",6
423690,Other Electronic Parts and Equipment Merchant Wholesalers,6
423710,Hardware Merchant Wholesalers,6
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,6
423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,6
423740,Refrigeration Equipment and Supplies Merchant Wholesalers,6
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,6
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,6
423830,Industrial Machinery and Equipment Merchant Wholesalers,6
423840,Industrial Supplies Merchant Wholesalers,6
423850,Service Establishment Equipment and Supplies Merchant Wholesalers,6
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,6
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,6
423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,6
423930,Recyclable Material Merchant Wholesalers,6
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",6
423990,Other Miscellaneous Durable Goods Merchant Wholesalers,6
424110,Printing and Writing Paper Merchant Wholesalers,6
424120,Stationery and Office Supplies Merchant Wholesalers,6
424130,Industrial and Personal Service Paper Merchant Wholesalers,6
424210,Drugs and Druggists' Sundries Merchant Wholesalers,6
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",6
424340,Footwear Merchant Wholesalers,6
